ward,population
E05014183,4783
E05014184,6180
E05014185,7802
E05014187,6561
E05014191,6553
E05014192,5870
E05014195,5242
E05014199,5062
E05014205,5977
E05014211,5663
E05014213,6279
E05014214,7161
E05014216,5630
E05014177,5069
E05014179,5284
E05014180,5850
E05014188,5794
E05014189,5550
E05014190,5835
E05014194,5533
E05014196,5687
E05014197,6342
E05014202,5690
E05014203,4961
E05014204,5481
E05014217,6437
E05014218,5985
E05014224,4214
E05014225,5656
E05014227,4237
E05014229,6252
E05014237,4970
E05014242,7572
E05014243,9414
E05014219,3836
E05014220,3477
E05014221,3179
E05014226,10429
E05014230,3768
E05014231,6057
E05014232,5949
E05014233,6507
E05014234,6312
E05014235,6630
E05014236,6219
E05014238,3843
E05014239,4202
E05014245,8015
E05014246,11822
E05014247,4019
E05014249,10184
E05005150,6795
E05005151,5562
E05005152,6265
E05005153,5070
E05005154,5261
E05005155,7893
E05005156,5911
E05005157,6380
E05005158,6380
E05005159,6779
E05005160,6680
E05005161,7097
E05005162,6658
E05005163,6066
E05005164,5850
E05013064,7902
E05013065,10089
E05013066,8467
E05013067,6983
E05013068,7753
E05013069,7954
E05013070,9435
E05013071,8530
E05013072,9100
E05013073,8726
E05013074,8300
E05013075,9552
E05013076,7255
E05013077,7686
E05005185,4127
E05005186,4454
E05005187,4407
E05005188,3871
E05005189,1625
E05005190,4121
E05005191,3157
E05005192,2674
E05005193,5255
E05005194,3984
E05005195,4666
E05005196,3217
E05005197,4474
E05005198,3261
E05005199,4999
E05005200,1899
E05005201,4614
E05005202,5016
E05005203,1422
E05005204,3468
E05005205,6667
E05005206,5445
E05005207,4706
E05005208,3930
E05005209,6177
E05005210,5384
E05005211,4505
E05005212,4697
E05005213,4299
E05005214,4890
E05005215,4743
E05005216,6274
E05005217,4454
E05005218,6656
E05005219,4422
E05005220,6066
E05005221,5587
E05009592,6894
E05009593,7244
E05009594,9505
E05009595,6044
E05009596,5455
E05009597,4315
E05009598,2885
E05009599,7724
E05009600,4719
E05009601,4801
E05009602,6772
E05009603,7125
E05009604,2280
E05009605,4533
E05009606,6161
E05009607,2491
E05009608,5376
E05009609,4259
E05009610,7172
E05009611,1900
E05009612,6941
E05009613,7147
E05009614,4421
E05009615,5108
E05009616,2320
E05009617,1999
E05009618,7342
E05013200,9182
E05013201,7448
E05013202,7870
